180612 cbrako-fix120 OK  
180612sk cbrako-fix120 OK  
180612SK cbrako-fix120 OK  
180613 cbrako-fix121 OK  
180613hz cbrako-fix121 OK  
180613HZ cbrako-fix121 OK  
180802 cbrako-fix122 OK  
180802mo cbrako-fix122 OK  
180802MO cbrako-fix122 OK  
180803md cbrako-fix123 OK  
180803MD cbrako-fix123 OK  
180803P1 cbrako-fix123 OK  
180803P2 cbrako-fix124 OK  
180803sm cbrako-fix124 OK  
180803SM cbrako-fix124 OK  
180820KA cbrako-fix125 ##fixed error in RNA OK  
180820 cbrako-fix125 OK  
180820ka cbrako-fix125 OK  
180822eg cbrako-fix126 OK  
180822EG cbrako-fix126 OK  
180822P1 cbrako-fix126 OK  
180822bg cbrako-fix127 OK  
180822BG cbrako-fix127 OK  
180822P2 cbrako-fix127 OK  
180830hk cbrako-fix128 OK  
180830HK cbrako-fix128 OK  
180830P1 cbrako-fix128 OK  
180830mn cbrako-fix129 OK  
180830MN cbrako-fix129 OK  
180830P2 cbrako-fix129 OK  
180831it cbrako-fix130 OK
180831 cbrako-fix130 OK  
#170224px XXXX jesli px=p1, to 170224P1 
#170606py XXXX jesli py=P2, to 170606P2 
